BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Frazier2B-RF,4,1,2,0,1,0,0,.270,.723
France1B,4,0,2,1,0,0,2,.325,.875
"Rodríguez, JCF",4,0,1,1,0,1,3,.254,.657
"Crawford, JSS",4,0,2,0,0,0,2,.333,.952
"Suárez, E3B",4,0,0,0,0,1,2,.202,.735
TorrensDH-C,4,0,0,0,0,2,2,.176,.400
WinkerLF,4,0,1,0,0,1,1,.204,.585
"Moore, DRF",2,1,0,0,1,1,1,.179,.681
"Mills, WP",0,0,0,0,0,0,0,.000,.000
SteckenriderP,0,0,0,0,0,0,0,.000,.000
b-KelenicPH,1,0,0,0,0,1,0,.140,.510
RaleighC,2,0,0,0,0,2,0,.065,.355
a-ToroPH-2B,2,0,0,0,0,1,1,.150,.521
,35,2,8,2,2,10,14,,
