BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,3,0,1,0,0,1,0,.279,.796
InciarteCF,2,0,0,0,0,0,3,.000,.000
"Marte, SRF",4,0,3,0,0,0,1,.284,.780
LindorSS,2,0,0,0,1,0,1,.245,.745
"a-Smith, DoPH-1B",1,0,0,0,0,1,1,.200,.565
Alonso1B,3,0,1,0,0,0,3,.282,.924
MedinaP,0,0,0,0,0,0,0,.000,.000
b-NidoPH,0,0,0,0,1,0,0,.221,.508
"Davis, JDH-3B",4,1,1,0,0,1,3,.243,.678
Escobar3B-2B,3,0,0,0,1,1,2,.222,.658
CanhaLF,4,0,0,0,0,0,5,.270,.735
McNeil2B,3,0,1,0,0,1,0,.328,.848
Guillorme2B-SS,1,0,1,0,0,0,0,.311,.756
McCannC,3,0,0,1,1,0,1,.179,.504
,33,1,8,1,4,5,20,,
