BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SlaterCF,2,0,0,0,1,1,0,.297,.857
a-PedersonPH-RF,2,0,0,0,0,0,2,.249,.836
Flores2B,3,0,1,0,1,0,2,.251,.773
Ruf1B,3,0,0,0,0,1,1,.226,.715
b-Wade Jr.PH-1B,1,0,0,0,0,0,1,.176,.633
Longoria3B,3,1,1,0,1,1,0,.247,.801
BeltDH,3,0,0,0,0,1,1,.237,.758
c-VillarPH-DH,1,0,0,0,0,0,2,.216,.790
EstradaSS,4,0,2,0,0,1,0,.263,.733
"Mercedes, YLF",4,0,1,1,0,2,1,.243,.738
BartC,3,0,0,0,0,0,2,.179,.649
"d-Gonzalez, LPH",1,0,1,0,0,0,0,.283,.767
YastrzemskiRF-CF,4,0,1,0,0,0,2,.234,.740
,34,1,7,1,3,7,14,,
