BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Miranda3B,5,0,0,0,0,3,3,.272,.760
CorreaSS,4,1,1,0,1,0,1,.286,.824
2-PalaciosPR,0,0,0,0,0,0,0,.088,.231
Arraez1B,4,1,2,0,1,0,1,.315,.791
UrshelaDH,4,0,1,0,0,1,2,.281,.757
SanchezC,1,0,0,0,2,1,3,.210,.665
1-HamiltonPR-LF,0,1,0,0,0,0,0,.053,.153
b-ContrerasPH-LF,1,0,0,0,0,1,1,.111,.372
Gordon2B,4,0,1,2,0,1,3,.272,.751
CelestinoCF,3,0,0,0,1,0,2,.241,.616
CaveLF,2,0,0,0,0,1,0,.217,.663
a-JeffersPH-C,2,0,1,1,0,1,0,.213,.663
WallnerRF,3,0,0,0,1,3,2,.256,.798
,33,3,6,3,6,12,18,,
