Year,Team,Pos,OAA,,In,"Lateral
toward 3B","Lateral
toward 1B",Back,RHB,LHB,Attempts,Success Rate,"Estimated
Success Rate","Success
Rate Added"
2016,,RF,1,,0,0,1,0,1,0,40,88%,84%,3%
2017,,RF,11,,2,3,3,3,9,3,310,91%,87%,4%
2018,,ALL,1,,3,0,-2,0,3,-2,204,89%,88%,0%
2018,,RF,1,,3,0,-2,0,3,-2,203,89%,88%,0%
2018,,CF,0,,0,0,0,0,0,0,1,100%,99%,1%
2019,,RF,8,,0,2,4,3,5,3,212,91%,87%,4%
2020,,RF,1,,1,-1,0,0,1,0,58,90%,88%,2%
2021,,ALL,0,,2,-1,-1,0,0,0,282,87%,87%,0%
2021,,RF,0,,2,-1,-2,1,0,0,237,86%,86%,0%
2021,,CF,0,,0,-1,1,0,0,0,45,89%,89%,0%
2022,,ALL,3,,-2,2,1,2,1,2,329,90%,89%,1%
2022,,RF,2,,0,0,1,1,2,0,150,89%,87%,1%
2022,,CF,1,,-2,2,0,1,-1,2,179,91%,90%,1%
Career,,ALL,26,,6,5,6,10,20,6,1435,89%,87%,2%
