PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Ohtani(W, 12-8)",5.0,6,1,1,2,7,0,2.55
Herget,2.2,0,0,0,0,1,0,2.44
Quijada,1.1,1,0,0,0,2,0,3.73
,9.0,7,1,1,2,10,0,
