Name,Year,0ft,5ft,10ft,15ft,20ft,25ft,30ft,35ft,40ft,45ft,50ft,55ft,60ft,65ft,70ft,75ft,80ft,85ft,90ft
"McCutchen, Andrew - RHB",2015,0.00,0.54,0.83,1.07,1.31,1.53,1.74,1.94,2.13,2.32,2.50,2.68,2.85,3.02,3.19,3.36,3.53,3.70,3.89
"McCutchen, Andrew - RHB",2016,0.00,0.53,0.82,1.07,1.31,1.53,1.74,1.94,2.13,2.32,2.50,2.68,2.85,3.02,3.19,3.36,3.53,3.69,3.87
"McCutchen, Andrew - RHB",2017,0.00,0.54,0.83,1.09,1.33,1.56,1.77,1.97,2.16,2.34,2.52,2.70,2.87,3.05,3.22,3.38,3.55,3.72,3.89
"McCutchen, Andrew - RHB",2018,0.00,0.53,0.82,1.08,1.32,1.55,1.76,1.96,2.15,2.33,2.52,2.69,2.87,3.04,3.21,3.38,3.55,3.72,3.89
"McCutchen, Andrew - RHB",2019,0.00,0.54,0.84,1.10,1.35,1.57,1.78,1.98,2.18,2.36,2.54,2.72,2.90,3.07,3.24,3.41,3.58,3.75,3.92
"McCutchen, Andrew - RHB",2020,0.00,0.56,0.89,1.17,1.41,1.63,1.85,2.05,2.25,2.44,2.63,2.81,2.99,3.17,3.35,3.52,3.69,3.87,4.05
"McCutchen, Andrew - RHB",2021,0.00,0.55,0.87,1.14,1.37,1.59,1.80,2.00,2.19,2.38,2.56,2.74,2.92,3.09,3.27,3.44,3.61,3.78,3.96
"McCutchen, Andrew - RHB",2022,0.00,0.55,0.86,1.13,1.37,1.59,1.80,2.00,2.19,2.38,2.56,2.74,2.91,3.08,3.25,3.42,3.59,3.76,3.93

