,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2012,AZ,NL,31,93,81,8,20,4,1,2,8,9,11,1,2,0,.247,.315,.395,.710
,2013,AZ,NL,137,482,443,64,119,28,5,8,38,33,82,12,3,2,.269,.322,.409,.731
,2014,AZ,NL,75,287,265,41,80,19,6,7,24,19,46,14,3,2,.302,.353,.498,.851
*,2015,AZ,NL,157,673,609,111,192,39,6,20,76,53,89,39,7,2,.315,.367,.498,.865
,2016,AZ,NL,12,46,41,9,10,0,0,2,4,5,8,4,0,0,.244,.326,.390,.716
,2017,AZ,NL,112,466,425,73,113,33,6,14,49,35,71,20,6,6,.266,.330,.471,.801
,2018,AZ,NL,113,460,413,61,106,21,5,21,65,31,100,13,2,8,.257,.316,.484,.800
,2019,LAD,NL,86,342,308,49,82,15,1,15,47,23,74,5,1,7,.266,.327,.468,.795
,2020,LAD,NL,55,210,196,30,54,9,0,16,34,12,45,2,2,0,.276,.314,.566,.880
,2021,LAD,NL,117,422,384,53,114,27,1,21,69,30,80,9,1,6,.297,.355,.536,.891
,2022,CWS,AL,138,527,489,61,120,26,1,14,56,32,98,3,1,2,.245,.292,.389,.681
,11 Seasons,3 Teams,,1033,4008,3654,560,1010,221,32,140,470,282,704,122,28,35,.276,.332,.469,.801
