Season,Age,Pitches,"Batted
Balls",Barrels,Barrel %,Barrel/PA,"Exit
Velocity",Max EV,"Launch
Angle","Sweet
Spot %",XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%
2016,24,129,30,4,13.3,11.1,89.4,109.3,16.2,26.7,.297,.565,.487,.361,.422,43.3,13.9,2.8
2017,25,1856,306,34,11.1,7.1,88.0,113.7,15.3,32.4,.229,.440,.316,.309,.410,34.1,29.2,5.6
2018,26,1715,299,37,12.4,8.4,89.9,113.7,18.4,28.8,.240,.463,.338,.325,.405,43.6,24.7,6.8
2019,27,2023,292,35,12.0,7.1,89.9,114.1,19.1,32.2,.220,.455,.320,.314,.419,39.4,31.2,9.3
2020,28,570,86,9,10.5,6.5,89.6,111.9,17.5,23.3,.204,.438,.277,.318,.385,39.5,26.6,10.1
2021,29,2191,397,57,14.4,10.0,90.1,116.4,15.6,32.7,.260,.506,.344,.354,.433,44.3,22.7,7.7
2022,30,2027,358,39,10.9,7.5,90.5,112.5,17.7,32.7,.240,.438,.347,.323,.390,43.6,23.2,7.5
Player,,10511,1768,215,12.2,8.0,89.7,116.4,17.1,31.3,.238,.462,.332,.326,.411,41.2,25.9,7.5
MLB,,,,,6.7,4.6,88.4,122.4,12.1,33.0,.245,.405,.316,.315,.368,35.8,22.1,8.4
