BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Berti2B,0,0,0,0,1,0,0,.271,.740
Wendle2B-SS,3,0,2,1,1,0,1,.279,.733
"Rojas, MSS",4,0,1,0,0,0,4,.246,.659
Cooper1B,1,0,0,0,0,0,1,.295,.815
Aguilar1B-3B,4,1,1,0,1,0,3,.248,.699
"García, AvDH",5,1,1,0,0,1,5,.232,.591
"Anderson, B3B-2B",4,0,1,2,1,0,0,.253,.738
FortesC,4,0,1,0,0,0,0,.273,.845
De La CruzRF,4,0,0,0,0,1,2,.212,.627
"Williams, LLF",4,0,1,0,0,1,2,.273,.708
HamiltonCF,2,1,1,0,0,1,0,.143,.286
"a-Sánchez, JPH-CF",1,0,0,0,1,0,2,.205,.648
,36,3,9,3,5,4,20,,
