BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
India2B,4,0,0,0,0,1,1,.245,.696
Steer3B,4,1,1,0,0,0,1,.214,.646
"Robinson, CC",0,0,0,0,0,0,0,.096,.269
"Farmer, KDH",4,0,2,1,0,1,0,.255,.702
Solano1B,4,0,0,0,0,0,2,.288,.733
FairchildCF-LF,3,0,0,0,0,0,0,.244,.776
a-FraleyPH,0,0,0,0,1,0,0,.259,.826
AquinoRF,3,0,1,0,0,0,0,.199,.616
FriedlPH,0,0,0,0,0,0,0,.242,.760
"b-Lopez, APH",1,0,0,0,0,1,1,.272,.673
"Reynolds, MLF-3B",3,0,0,0,0,1,1,.249,.657
BarreroSS,3,0,0,0,0,2,1,.158,.404
RomineC,3,0,0,0,0,1,0,.156,.443
1-SianiPR-CF,0,0,0,0,0,0,0,.154,.308
,32,1,4,1,1,7,7,,
