BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NootbaarRF-LF,3,0,1,0,1,1,0,.333,.833
PujolsDH,4,0,0,0,0,0,3,.000,.000
Goldschmidt1B,3,0,0,0,0,1,2,.000,.250
Arenado3B,4,1,1,0,0,0,2,.250,.500
Donovan2B,3,0,0,0,0,1,1,.000,.000
DeJongSS,1,0,0,0,0,0,1,.000,.000
CarlsonCF-RF,2,1,0,0,2,0,0,.000,.500
DickersonLF,2,0,0,0,0,1,0,.000,.000
a-YepezPH,1,1,1,2,0,0,0,1.000,5.000
DeLuzioCF,0,0,0,0,0,0,0,.000,.000
b-GormanPH,1,0,1,1,0,0,0,1.000,2.000
MolinaC,4,0,0,0,0,2,2,.000,.000
EdmanSS-2B,3,0,1,0,0,1,0,.333,.666
,31,3,5,3,3,7,11,,
