Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2017,STL,NL,124,49,52,0,0,.304,13,4,19,466,3.758,.250,.032,.226,.184,0,0
2018,STL,NL,13,5,4,0,0,.167,1,0,1,64,4.923,.308,.077,.500,.273,1,0
2018,NYY,AL,148,91,49,0,0,.380,19,3,18,615,4.155,.264,.095,.385,.356,2,0
2018,2 Teams,,161,96,53,0,0,.365,20,3,19,679,4.217,.267,.093,.395,.350,3,0
2019,NYY,AL,510,199,179,0,1,.345,43,12,65,2016,3.953,.278,.041,.500,.200,2,0
2020,NYY,AL,234,130,90,0,1,.268,27,4,32,910,3.889,.231,.094,.315,.333,3,1
2021,NYY,AL,241,93,107,0,0,.313,19,12,34,966,4.008,.307,.046,.284,.197,1,1
2022,SD,NL,344,124,133,0,4,.302,31,5,36,1382,4.017,.320,.038,.355,.191,3,0
2022,WSH,NL,224,77,91,0,2,.294,13,4,25,866,3.866,.308,.040,.232,.153,0,0
2022,2 Teams,,568,201,224,0,6,.298,44,9,61,2248,3.958,.315,.039,.307,.176,3,0
6 Seasons,4 Teams,,1838,768,705,0,8,.314,166,44,230,7285,3.964,.285,.052,.359,.222,12,2
